english,japanese,pt-BR,sv-SE
Advanced Fury,アドヴァンスフューリアス,Fúria Avançada,Avancerat raseri
Ambrosia,アンブロシア,Ambrosia,Ambrosia
Anointed Cloak,アノイントクローク,Manto Ungido,Smord mantel
Antique Pendant,ふるびたペンダント,Pingente Antigo,Antikt halsband
Apothecary's Arcanum,薬士の秘薬,Apotecário Arcano,Aptotekarens arkana
Archer's Aptitude,弓闘士の知識,Aptidão do Arqueiro,Bågskyttens fallenhet
Armor of Aleph,聖鎧アレフストレイン,Armadura de Alepe,Alephs rustning
Arondight,名剣アロンダイト,Arondito,Arondight
Bird Poop,とりのふん,Cocô de Passarinho,Fågelbajs
Bloody Duster,ブラッディダスター,Luvas Sangrentas,Blodig rock
Bloody Murder,ブラッディアッシュ,Matador Sangrento,Blodigt mord
Blue Soul Flame,ブルーソウルフレイム,Chama da Alma Azul,Blå själs låga
Bonemeal,骨クズ,Farelo de Osso,Benmjöl
Burgundy Flask,ポルト酒,Frasco Borgonha,Burgundisk flaska
Busted Staff,壊れた杖,Bastão Lascado,Trasig stav
Cat Poop,ねこのふん,Cocô de Gato,Kattbajs
Charge Break,チャージブレイク,Quebra de Carga,Laddningsbrytning
Charm,お守り,Amuleto,Bärnsten
Chewed-up Shoes,かじった靴,Sapatos Mastigados,Tuggade skor
Chicken Feed,ひよこのえさ,Ração de Frango,Kycklingfoder
Claiomh Solais,光剣クラウソナス,Solais Claiomh,Claiomh Solais
Clamshell Chum,貝殻入りのえさ,Isca de Amêijoa,Musslor
Claymore,クレイモア,Claimore,Claymore
Core Emerald,コアエメラルド,Núcleo Esmeralda,Kärnsmaragd
Crimson Flame Stone,紅炎の石,Pedra da Chama Carmesim,Karmosinröd lågesten
Crystal Chainmail,クリスタルチェイン,Malha de Cristal,Kristallkedjepansar
Dainslef,魔剣ダインスレイヴ,Dainslef,Dainslef
Demon Sword Levantine,魔剣レヴァンテイン,Espada Demoníaca Levantine,Demoniska svärdet Levantine
Dog Poop,いぬのふん,Cocô de Cão,Hundbajs
Double-check,ダブルサーチ,Duplo-Cheque,Dubbelkontroll
Dragon Armor,ドラゴンアーマー,Armadura Dragão,Drakrustning
Dragon Orb,ドラゴンオーブ,Orbe do Dragão,Drakklotet
Dragonlore,竜杖ドラゴンロア,História Dragão,Drakvishet
Dwarf Tincture,小人の霊薬,Tintura de Anão,Dvärgtinktur
Earth Gem,アースジェム,Gema da Terra,Jordgems
Earthproof Talisman,砕土のタリスマン,Talismã à prova de Terra,Jordskyddande talisman
Earthproof Trinket,砕土の護符,Amuleto à prova de Terra,Jordskyddande amulett
Eclipse Stone,日食の石,Pedra do Eclipse,Förmörkelsesten
Elixir,エリクサー,Elixir,Elixir
Ether Greaves,エーテルグリーブ,Grevas de Éter,Eterbenkåpor
Ether Helm,エーテルヘルム,Elmo de Éter,Eterhjälm
